"Blocking Key Value","Frequency"
"SCOFA,ASGOAS,CYDEBE,BLSK,GH,THWAOF,TRGR,GOMRCH,ONFLOV,BOTO,ITHAON,WAONTH,HINO,ANHA,THBRON,MAPO","2"
"GOWITH,TWWO,BODOCR,HAANTO,ONTHWA,BU8,RABU,FOGU,THLOWE,MYLEFO,ELGA,RAMA,AFRSO,SHINLO,7THE,THLIIN,WOINLO,THCOGI,ROATTH,THTHFA,THDI,THHE,COHO,PLINTH,TOKIA,COBALI,ALDOLI,NORA,SETA,DEMAWA,SEYO,JE,KL,SATHTI,LELAVE,WAST,TRDA,MYFALA,HOEN,SOCH,THBEYE,THFADA,THFRCO,WHAFOF,ONGOPO,ADOLI,CABA,THKIAN,CHOFA,MOBA,CACO,TEOFEN,MOGL,MIDOBA,ALTHKI,KRVSKR,KIFO,MIANBI,GOMYWA,BOYE,INTHHE,DRMIDA,ASTNA,LIISBE,JOBE,THGOEA,AMBE,THPHST,AMAFO,LIOFTH,MYRI,GUWHCO,ERBR,FUGI,IWATO,THROTA,YADODA,ATOOF,THGOGI,COMIDA,TEME,TOEAHI,ST17,INOLAR,MIPI,THAFQU,JUATNU,MRMI,REOFFO,THMIWO","1"
"MA,MO","24"
"CA","21"
"DA","18"
"CH,CO,HA","11"
"BE,PA,SH,SU","10"
"THPI,THPROF","8"
"THSTOF,RA","7"
"THCOOF,THCH,AM,GA,THSIOF","6"
"FA,HU","5"
"THHO,THIN,AN,GL","4"
"KIOFTH,THAC,THGO,DI,MI,NE,PH,THPRLI,ROHO,DRJEAN","3"
